ID_Usuario;DNI_Usuario;Edad;Género_sucio;Género;Ubicación_sucio;Ubicación;Tipo_Viajero_sucio;Tipo_Viajero;ID_Reserva;Fecha_Reserva;Fecha_Viaje;Antelacion_Reserva_sucio;Antelacion_Reserva;Duracion_Viaje_sucio;Numero_Personas;Tipo_Paquete_sucio;Tipo_Paquete;Costo_Total;Metodo_Pago;Destino_sucio;Destino;Tipo_Alojamiento_sucio;Clase_Vuelo;Actividades_Reservadas_sucio;Actividades_Reser_sucio2;Actividades_Reservadas;Numero_Noches_Estancia_sucio;Numero_Noches_Estancia;Promocion_Aplicada_sucio;Promocion_Aplicada;Fuente_Reserva;Estado_Reserva;Mes_Reserva_sucio;Mes_Reserva;Mes_Viaje_sucio;Mes_Viaje;Estacionalidad;Cancelacion_Reserva_sucio;Cancelacion_reserva;Calificacion_Usuario;Comentarios;Rango_Edad;Gasto_persona;Gasto_duracion
U0011;12059280N;47;Female;Femenino;Spain;España;Tusirta;Turista;R00011;07/08/2024;29/11/2024;169;114;2;4;Vuelo + Hotel;Vuelo + Hotel;1.023,00;Transferencia bancaria;Barcelona;Barcelona;Airbnb;Ejecutiva;;;;4;1;FALSO;Falso;App móvil;Pendiente;6;8;12;11;Temporada alta;VERDADERO;Verdadero;1;No me gustó el servicio;Mediana Edad;255,75;511,50
U0012;45989498D;43;Male;Masculino;USA;EEUU;Turista;Turista;R00012;05/08/2024;19/09/2024;347;45;6;4;Solo vuelo;Vuelo;18.198,90;PayPal;Cancun;Cancun;;Ejecutiva;;;;5;5;FALSO;Falso;App móvil;Pendiente;10;8;9;9;Temporada alta;FALSO;Falso;3;Recomendado;Mediana Edad;4.549,73;3.033,15
U0013;22169103R;45;Other;Otro;UK;Reino unido;Negocios;Negocios;R00013;12/04/2024;11/10/2024;248;182;9;4;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;11.714,70;Transferencia bancaria;Paris;Paris;Airbnb;Económica;;Desconocido;Desconocido;6;8;FALSO;Falso;Agente de viajes;Cancelada;9;4;11;10;Temporada alta;VERDADERO;Verdadero;2;;Mediana Edad;2.928,68;1.301,63
U0014;89913768Y;24;Female;Femenino;Germany;Alemania;Turista;Turista;R00014;15/01/2024;23/07/2024;216;190;12;1;Vuelo + Hotel;Vuelo + Hotel;12.268,10;PayPal;Rome;Roma;Resort;Económica;;;;2;11;FALSO;Falso;Agente de viajes;Pendiente;7;1;1;7;Temporada alta;FALSO;Falso;1;No me gustó el servicio;Jovenes Adultos;12.268,10;1.022,34
U0015;53433539P;27;Other;Otro;Germany;Alemania;Negocios;Negocios;R00015;30/03/2024;14/09/2024;127;168;10;2;Solo vuelo;Vuelo;15.496,40;Transferencia bancaria;Cancun;Cancun;;Primera clase;;;;2;9;VERDADERO;Verdadero;Sitio web;Cancelada;1;3;12;9;Temporada alta;FALSO;Falso;3;Problemas con la reserva;Jovenes Adultos;7.748,20;1.549,64
U0016;88339325M;20;Other;Otro;Mexico;Méjico;Tusirta;Turista;R00016;22/10/2024;20/12/2024;313;59;12;3;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;15.586,20;Transferencia bancaria;Cancun;Cancun;Airbnb;Primera clase;City tour;City tour;Tour en Cuidad;3;11;FALSO;Falso;App móvil;Confirmada;8;10;6;12;Temporada alta;VERDADERO;Verdadero;5;Todo bien;Jovenes Adultos;5.195,40;1.298,85
U0017;32165059L;27;Female;Femenino;Australia;Australia;Tusirta;Turista;R00017;07/04/2024;13/11/2024;338;220;9;4;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;6.684,80;Tarjeta de crédito;Paris;Paris;Hotel;Económica;;Desconocido;Desconocido;4;8;VERDADERO;Verdadero;Agente de viajes;Cancelada;9;4;5;11;Temporada alta;VERDADERO;Verdadero;4;Todo bien;Jovenes Adultos;1.671,20;742,76
U0018;37040612D;43;Female;Femenino;Australia;Australia;Turista;Turista;R00018;14/05/2024;26/08/2024;133;104;2;3;Vuelo + Hotel;Vuelo + Hotel;277,70;Tarjeta de crédito;London;Londres;Hotel;Económica;;;;3;1;VERDADERO;Verdadero;App móvil;Pendiente;8;5;10;8;Temporada alta;VERDADERO;Verdadero;2;Todo bien;Mediana Edad;92,57;138,85
U0019;36483028Z;39;Other;Otro;UK;Reino unido;Tusirta;Turista;R00019;16/06/2024;04/07/2024;344;18;5;1;Vuelo + Hotel;Vuelo + Hotel;1.027,80;PayPal;Paris;Paris;Hotel;Primera clase;;;;2;4;VERDADERO;Verdadero;App móvil;Cancelada;12;6;12;7;Temporada baja;VERDADERO;Verdadero;4;Recomendado;Adultos;1.027,80;205,56
U0020;57725381G;37;Male;Masculino;Spain;España;Negocios;Negocios;R00020;18/06/2024;22/07/2024;266;34;12;2;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;263,40;Tarjeta de crédito;Barcelona;Barcelona;Airbnb;Ejecutiva;;Desconocido;Desconocido;5;11;FALSO;Falso;Agente de viajes;Cancelada;8;6;1;7;Temporada alta;FALSO;Falso;5;Todo bien;Adultos;131,70;21,95
U0021;72120965A;54;Male;Masculino;USA;EEUU;Negocios;Negocios;R00021;10/02/2024;29/08/2024;340;201;2;2;Vuelo + Hotel;Vuelo + Hotel;3.978,80;PayPal;Cancun;Cancun;Resort;Económica;;;;6;1;VERDADERO;Verdadero;Agente de viajes;Cancelada;3;2;5;8;Temporada baja;VERDADERO;Verdadero;2;No me gustó el servicio;Adultos Mayores;1.989,40;1.989,40
U0022;13996430X;33;Male;Masculino;Germany;Alemania;Negocios;Negocios;R00022;23/10/2024;30/10/2024;220;7;5;4;Vuelo + Hotel;Vuelo + Hotel;18.161,30;PayPal;Cancun;Cancun;Hotel;Primera clase;;;;3;4;FALSO;Falso;Agente de viajes;Pendiente;7;10;1;10;Temporada alta;FALSO;Falso;4;Todo bien;Adultos;4.540,33;3.632,26
U0023;50486001N;32;Other;Otro;Spain;España;Turista;Turista;R00023;09/08/2024;28/08/2024;56;19;13;2;Vuelo + Hotel;Vuelo + Hotel;1.678,40;Tarjeta de crédito;Tokyo;Tokio;Airbnb;Económica;;;;3;12;FALSO;Falso;App móvil;Cancelada;12;8;10;8;Temporada baja;FALSO;Falso;1;Problemas con la reserva;Adultos;839,20;129,11
U0024;14942848R;32;Female;Femenino;Germany;Alemania;Turista;Turista;R00024;30/06/2024;14/11/2024;246;137;4;1;Solo vuelo;Vuelo;18.946,80;Tarjeta de crédito;Tokyo;Tokio;;Económica;;;;3;3;FALSO;Falso;Agente de viajes;Confirmada;1;6;2;11;Temporada alta;VERDADERO;Verdadero;1;Problemas con la reserva;Adultos;18.946,80;4.736,70
U0025;11757997Y;34;Female;Femenino;UK;Reino unido;Turista;Turista;R00025;28/04/2024;05/10/2024;159;160;4;4;Vuelo + Hotel;Vuelo + Hotel;12.337,80;PayPal;New York;Nueva York;Resort;Ejecutiva;;;;7;3;VERDADERO;Verdadero;App móvil;Pendiente;1;4;3;10;Temporada alta;FALSO;Falso;3;Problemas con la reserva;Adultos;3.084,45;3.084,45
U0026;86774479X;62;Other;Otro;Spain;España;Turista;Turista;R00026;09/02/2024;10/03/2024;334;30;11;1;Vuelo + Hotel;Vuelo + Hotel;17.411,30;PayPal;New York;Nueva York;Hotel;Ejecutiva;;;;7;10;FALSO;Falso;App móvil;Cancelada;4;2;1;3;Temporada baja;VERDADERO;Verdadero;3;;Adultos Mayores;17.411,30;1.582,85
U0027;72439860A;46;Other;Otro;Spain;España;Negocios;Negocios;R00027;29/07/2024;04/08/2024;27;6;11;4;Solo vuelo;Vuelo;16.455,80;Transferencia bancaria;Barcelona;Barcelona;;Primera clase;;;;6;10;FALSO;Falso;App móvil;Confirmada;1;7;11;8;Temporada baja;FALSO;Falso;5;Excelente viaje;Mediana Edad;4.113,95;1.495,98
U0028;39342077W;49;Female;Femenino;India;India;Turista;Turista;R00028;27/03/2024;25/12/2024;9;273;5;1;Solo vuelo;Vuelo;1.922,70;Transferencia bancaria;Tokyo;Tokio;;Primera clase;;;;7;4;FALSO;Falso;App móvil;Cancelada;8;3;8;12;Temporada baja;VERDADERO;Verdadero;5;Recomendado;Mediana Edad;1.922,70;384,54
U0029;40220262R;36;Female;Femenino;Germany;Alemania;Negocios;Negocios;R00029;08/02/2024;22/10/2024;360;257;9;2;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;4.060,10;Tarjeta de crédito;New York;Nueva York;Airbnb;Ejecutiva;Excursión en bote;Excursión en bote;Excursión en bote;7;8;FALSO;Falso;Sitio web;Cancelada;12;2;11;10;Temporada alta;FALSO;Falso;5;Recomendado;Adultos;2.030,05;451,12
U0030;38426912F;19;Male;Masculino;Australia;Australia;Negocios;Negocios;R00030;24/08/2024;16/11/2024;247;84;5;4;Solo vuelo;Vuelo;1.757,10;Tarjeta de crédito;Paris;Paris;;Económica;;;;8;4;VERDADERO;Verdadero;App móvil;Pendiente;1;8;10;11;Temporada alta;VERDADERO;Verdadero;1;Problemas con la reserva;Jovenes Adultos;439,28;351,42
U0031;42810965F;48;Other;Otro;Mexico;Méjico;Negocios;Negocios;R00031;14/01/2024;11/03/2024;338;57;13;4;Vuelo + Hotel;Vuelo + Hotel;10.497,50;PayPal;Cancun;Cancun;Airbnb;Primera clase;;;;5;12;FALSO;Falso;App móvil;Cancelada;11;1;6;3;Temporada alta;VERDADERO;Verdadero;5;Todo bien;Mediana Edad;2.624,38;807,50
U0032;77901594L;62;Male;Masculino;India;India;Negocios;Negocios;R00032;05/05/2024;26/12/2024;231;235;6;3;Solo vuelo;Vuelo;12.385,80;PayPal;Paris;Paris;;Económica;;;;3;5;VERDADERO;Verdadero;App móvil;Confirmada;12;5;7;12;Temporada alta;FALSO;Falso;3;Todo bien;Adultos Mayores;4.128,60;2.064,30
U0033;31298089B;47;Male;Masculino;India;India;Negocios;Negocios;R00033;08/02/2024;04/08/2024;280;178;7;1;Solo vuelo;Vuelo;9.392,80;Tarjeta de crédito;New York;Nueva York;;Primera clase;;;;2;6;FALSO;Falso;Agente de viajes;Cancelada;6;2;12;8;Temporada baja;VERDADERO;Verdadero;4;Recomendado;Mediana Edad;9.392,80;1.341,83
U0034;22459835J;47;Other;Otro;Germany;Alemania;Negocios;Negocios;R00034;05/04/2024;29/08/2024;323;146;13;3;Solo vuelo;Vuelo;8.145,10;Transferencia bancaria;Cancun;Cancun;;Primera clase;;;;1;12;FALSO;Falso;App móvil;Cancelada;2;4;11;8;Temporada alta;FALSO;Falso;3;No me gustó el servicio;Mediana Edad;2.715,03;626,55
U0035;95314414E;47;Other;Otro;UK;Reino unido;Negocios;Negocios;R00035;22/01/2024;22/05/2024;214;121;12;3;Solo vuelo;Vuelo;6.811,20;Tarjeta de crédito;Tokyo;Tokio;;Ejecutiva;;;;8;11;FALSO;Falso;App móvil;Cancelada;5;1;4;5;Temporada baja;VERDADERO;Verdadero;5;Todo bien;Mediana Edad;2.270,40;567,60
U0036;40805890A;26;Female;Femenino;USA;EEUU;Tusirta;Turista;R00036;29/11/2024;08/12/2024;264;9;9;1;Solo vuelo;Vuelo;5.012,90;Tarjeta de crédito;Tokyo;Tokio;;Económica;;;;4;8;VERDADERO;Verdadero;Sitio web;Cancelada;9;11;4;12;Temporada alta;VERDADERO;Verdadero;5;Recomendado;Jovenes Adultos;5.012,90;556,99
U0037;10268989H;45;Female;Femenino;India;India;Tusirta;Turista;R00037;07/04/2024;02/07/2024;346;86;4;4;Vuelo + Hotel;Vuelo + Hotel;18.307,40;Tarjeta de crédito;New York;Nueva York;Resort;Primera clase;;;;7;3;FALSO;Falso;App móvil;Pendiente;8;4;6;7;Temporada alta;FALSO;Falso;5;Todo bien;Mediana Edad;4.576,85;4.576,85
U0038;49752238H;56;Female;Femenino;India;India;Turista;Turista;R00038;10/07/2024;14/09/2024;344;66;7;1;Solo vuelo;Vuelo;1.933,60;Transferencia bancaria;New York;Nueva York;;Económica;;;;8;6;FALSO;Falso;App móvil;Pendiente;3;7;12;9;Temporada alta;FALSO;Falso;2;Todo bien;Adultos Mayores;1.933,60;276,23
U0039;10958537A;21;Male;Masculino;Australia;Australia;Tusirta;Turista;R00039;05/02/2024;24/02/2024;50;19;1;4;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;7.523,20;PayPal;Tokyo;Tokio;Hotel;Económica;City tour;City tour;Tour en Cuidad;3;0;VERDADERO;Verdadero;Sitio web;Confirmada;11;2;11;2;Temporada baja;FALSO;Falso;1;Problemas con la reserva;Jovenes Adultos;1.880,80;7.523,20
U0040;25867915E;32;Other;Otro;USA;EEUU;Tusirta;Turista;R00040;01/04/2024;25/09/2024;11;177;8;3;Vuelo + Hotel;Vuelo + Hotel;11.517,10;Tarjeta de crédito;New York;Nueva York;Resort;Económica;;;;1;7;VERDADERO;Verdadero;Agente de viajes;Pendiente;2;4;3;9;Temporada alta;FALSO;Falso;5;Excelente viaje;Adultos;3.839,03;1.439,64
U0041;26592976P;21;Other;Otro;UK;Reino unido;Tusirta;Turista;R00041;15/11/2024;15/12/2024;322;30;5;2;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;16.192,30;Transferencia bancaria;London;Londres;Hotel;Económica;;Desconocido;Desconocido;9;4;FALSO;Falso;Agente de viajes;Cancelada;9;11;10;12;Temporada alta;VERDADERO;Verdadero;5;Recomendado;Jovenes Adultos;8.096,15;3.238,46
U0042;32978179C;24;Male;Masculino;USA;EEUU;Turista;Turista;R00042;15/03/2024;15/05/2024;148;61;12;4;Solo vuelo;Vuelo;1.723,10;PayPal;Paris;Paris;;Económica;;;;5;11;VERDADERO;Verdadero;App móvil;Pendiente;3;3;11;5;Temporada baja;VERDADERO;Verdadero;1;Problemas con la reserva;Jovenes Adultos;430,78;143,59
U0043;83595718X;29;Other;Otro;Australia;Australia;Negocios;Negocios;R00043;19/02/2024;07/09/2024;96;201;1;4;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;15.195,40;Transferencia bancaria;Barcelona;Barcelona;Airbnb;Ejecutiva;;Desconocido;Desconocido;9;0;VERDADERO;Verdadero;Agente de viajes;Pendiente;8;2;6;9;Temporada alta;FALSO;Falso;4;Recomendado;Jovenes Adultos;3.798,85;15.195,40
U0044;16289524G;42;Female;Femenino;India;India;Turista;Turista;R00044;25/08/2024;22/10/2024;144;58;12;1;Vuelo + Hotel;Vuelo + Hotel;12.410,80;PayPal;New York;Nueva York;Hotel;Económica;;;;5;11;VERDADERO;Verdadero;Agente de viajes;Pendiente;7;8;4;10;Temporada alta;FALSO;Falso;1;Problemas con la reserva;Mediana Edad;12.410,80;1.034,23
U0045;38845700B;43;Other;Otro;UK;Reino unido;Turista;Turista;R00045;12/07/2024;26/07/2024;82;14;12;2;Vuelo + Hotel;Vuelo + Hotel;15.579,10;Tarjeta de crédito;Cancun;Cancun;Airbnb;Económica;;;;9;11;VERDADERO;Verdadero;Agente de viajes;Pendiente;10;7;3;7;Temporada alta;FALSO;Falso;4;Recomendado;Mediana Edad;7.789,55;1.298,26
U0046;14510943J;63;Other;Otro;Germany;Alemania;Negocios;Negocios;R00046;18/07/2024;09/08/2024;321;22;7;4;Vuelo + Hotel;Vuelo + Hotel;3.647,50;PayPal;New York;Nueva York;Airbnb;Económica;;;;7;6;VERDADERO;Verdadero;App móvil;Cancelada;10;7;3;8;Temporada baja;VERDADERO;Verdadero;5;;Adultos Mayores;911,88;521,07
U0047;18496419A;34;Male;Masculino;Mexico;Méjico;Tusirta;Turista;R00047;14/04/2024;05/06/2024;239;52;10;3;Vuelo + Hotel;Vuelo + Hotel;1.531,50;PayPal;Rome;Roma;Hotel;Primera clase;;;;7;9;VERDADERO;Verdadero;Agente de viajes;Confirmada;8;4;10;6;Temporada alta;FALSO;Falso;3;Recomendado;Adultos;510,50;153,15
U0048;89558632J;64;Other;Otro;Germany;Alemania;Tusirta;Turista;R00048;19/02/2024;04/04/2024;291;45;8;1;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;11.645,60;Tarjeta de crédito;Tokyo;Tokio;Resort;Ejecutiva;Tour en bus;Tour en bus;Tour en bus;6;7;FALSO;Falso;Agente de viajes;Pendiente;11;2;6;4;Temporada alta;FALSO;Falso;3;Todo bien;Adultos Mayores;11.645,60;1.455,70
U0049;62509792R;19;Female;Femenino;Australia;Australia;Tusirta;Turista;R00049;18/09/2024;05/11/2024;210;48;12;4;Vuelo + Hotel;Vuelo + Hotel;3.175,80;PayPal;New York;Nueva York;Airbnb;Ejecutiva;;;;9;11;VERDADERO;Verdadero;Agente de viajes;Pendiente;6;9;10;11;Temporada baja;FALSO;Falso;2;Problemas con la reserva;Jovenes Adultos;793,95;264,65
U0050;87661005R;37;Male;Masculino;Spain;España;Negocios;Negocios;R00050;14/07/2024;10/12/2024;260;149;3;4;Vuelo + Hotel;Vuelo + Hotel;8.270,50;Tarjeta de crédito;Cancun;Cancun;Airbnb;Primera clase;;;;8;2;FALSO;Falso;Sitio web;Pendiente;5;7;9;12;Temporada baja;VERDADERO;Verdadero;1;Problemas con la reserva;Adultos;2.067,63;2.756,83
U0051;61651755W;55;Female;Femenino;USA;EEUU;Tusirta;Turista;R00051;03/08/2024;28/09/2024;62;56;14;1;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;16.962,10;Transferencia bancaria;Cancun;Cancun;Hotel;Económica;City tour;City tour;Tour en Cuidad;5;13;VERDADERO;Verdadero;Sitio web;Cancelada;3;8;12;9;Temporada baja;FALSO;Falso;2;No me gustó el servicio;Adultos Mayores;16.962,10;1.211,58
U0052;47343703C;41;Male;Masculino;Germany;Alemania;Tusirta;Turista;R00052;11/01/2024;25/04/2024;249;105;8;1;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;15.049,80;Transferencia bancaria;Tokyo;Tokio;Hotel;Económica;City tour;City tour;Tour en Cuidad;3;7;VERDADERO;Verdadero;Sitio web;Confirmada;1;1;12;4;Temporada alta;FALSO;Falso;1;Problemas con la reserva;Mediana Edad;15.049,80;1.881,23
U0053;43408974Q;25;Other;Otro;Germany;Alemania;Negocios;Negocios;R00053;12/05/2024;13/08/2024;278;93;8;1;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;5.135,60;Transferencia bancaria;Paris;Paris;Resort;Primera clase;Excursión en bote;Excursión en bote;Excursión en bote;8;7;FALSO;Falso;Agente de viajes;Cancelada;1;5;4;8;Temporada baja;VERDADERO;Verdadero;1;Problemas con la reserva;Jovenes Adultos;5.135,60;641,95
U0054;91649328D;31;Other;Otro;Spain;España;Turista;Turista;R00054;10/08/2024;12/11/2024;138;94;4;1;Vuelo + Hotel;Vuelo + Hotel;10.565,90;Transferencia bancaria;Barcelona;Barcelona;Hotel;Económica;;;;8;3;VERDADERO;Verdadero;Agente de viajes;Cancelada;5;8;1;11;Temporada alta;VERDADERO;Verdadero;5;Recomendado;Adultos;10.565,90;2.641,48
U0055;46270464F;54;Other;Otro;Germany;Alemania;Negocios;Negocios;R00055;27/02/2024;23/07/2024;36;147;14;3;Solo vuelo;Vuelo;897,00;Tarjeta de crédito;Tokyo;Tokio;;Ejecutiva;;;;3;13;VERDADERO;Verdadero;Sitio web;Cancelada;9;2;6;7;Temporada baja;FALSO;Falso;5;Recomendado;Adultos Mayores;299,00;64,07
U0056;61280885F;26;Other;Otro;India;India;Negocios;Negocios;R00056;05/04/2024;12/04/2024;336;7;4;1;Solo vuelo;Vuelo;19.493,40;Transferencia bancaria;London;Londres;;Ejecutiva;;;;8;3;FALSO;Falso;Sitio web;Confirmada;4;4;7;4;Temporada baja;VERDADERO;Verdadero;5;Recomendado;Jovenes Adultos;19.493,40;4.873,35
U0057;71065628K;34;Female;Femenino;Mexico;Méjico;Turista;Turista;R00057;28/02/2024;03/04/2024;331;35;13;4;Vuelo + Hotel;Vuelo + Hotel;6.825,70;Tarjeta de crédito;Paris;Paris;Resort;Primera clase;;;;4;12;VERDADERO;Verdadero;Sitio web;Confirmada;1;2;4;4;Temporada alta;FALSO;Falso;5;Recomendado;Adultos;1.706,43;525,05
U0058;98322312A;44;Female;Femenino;Australia;Australia;Turista;Turista;R00058;21/02/2024;21/03/2024;254;29;2;3;Vuelo + Hotel;Vuelo + Hotel;3.904,60;Transferencia bancaria;Rome;Roma;Hotel;Económica;;;;3;1;FALSO;Falso;App móvil;Cancelada;12;2;2;3;Temporada alta;VERDADERO;Verdadero;1;Problemas con la reserva;Mediana Edad;1.301,53;1.952,30
U0059;48566570T;57;Female;Femenino;Australia;Australia;Tusirta;Turista;R00059;15/02/2024;08/07/2024;153;144;1;2;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;4.220,80;PayPal;Barcelona;Barcelona;Resort;Ejecutiva;Tour en bus;Tour en bus;Tour en bus;4;0;VERDADERO;Verdadero;Agente de viajes;Cancelada;7;2;5;7;Temporada alta;FALSO;Falso;2;Todo bien;Adultos Mayores;2.110,40;4.220,80
U0060;15803424D;41;Other;Otro;India;India;Negocios;Negocios;R00060;30/03/2024;31/10/2024;334;215;4;3;Solo vuelo;Vuelo;7.888,30;Transferencia bancaria;Cancun;Cancun;;Primera clase;;;;7;3;FALSO;Falso;App móvil;Confirmada;7;3;1;10;Temporada baja;VERDADERO;Verdadero;4;Excelente viaje;Mediana Edad;2.629,43;1.972,08
U0061;73944822Y;48;Male;Masculino;UK;Reino unido;Tusirta;Turista;R00061;16/02/2024;17/04/2024;174;61;8;3;Vuelo + Hotel + Tour;Vuelo + Hotel + Tour;9.292,60;PayPal;Barcelona;Barcelona;Hotel;Primera clase;Tour en bus;Tour en bus;Tour en bus;8;7;FALSO;Falso;Sitio web;Cancelada;2;2;10;4;Temporada alta;FALSO;Falso;4;Todo bien;Mediana Edad;3.097,53;1.161,58
U0062;18366777N;55;Female;Femenino;UK;Reino unido;Turista;Turista;R00062;04/03/2024;27/11/2024;200;268;3;2;Vuelo + Hotel;Vuelo + Hotel;17.620,80;PayPal;Barcelona;Barcelona;Airbnb;Económica;;;;3;2;FALSO;Falso;Agente de viajes;Confirmada;12;3;1;11;Temporada alta;FALSO;Falso;5;Excelente viaje;Adultos Mayores;8.810,40;5.873,60
U0063;46062981F;19;Other;Otro;USA;EEUU;Negocios;Negocios;R00063;12/06/2024;22/12/2024;154;193;4;4;Solo vuelo;Vuelo;2.364,80;PayPal;Paris;Paris;;Primera clase;;;;4;3;VERDADERO;Verdadero;App móvil;Pendiente;10;6;3;12;Temporada alta;VERDADERO;Verdadero;2;No me gustó el servicio;Jovenes Adultos;591,20;591,20
U0064;40507067L;26;Female;Femenino;UK;Reino unido;Tusirta;Turista;R00064;27/09/2024;07/11/2024;72;41;2;3;Solo vuelo;Vuelo;8.564,50;Tarjeta de crédito;Paris;Paris;;Económica;;;;4;1;VERDADERO;Verdadero;Agente de viajes;Pendiente;6;9;12;11;Temporada baja;VERDADERO;Verdadero;1;No me gustó el servicio;Jovenes Adultos;2.854,83;4.282,25
